"ensembl","symbol","direction","program_rank","baseMean","log2FoldChange","stat","pvalue","padj"
"ENSG00000257764","ENSG00000257764","up_in_WHO_II_vs_I",55,9.2885446336394,2.07070486127181,5.25151561952064,1.50852738231148e-07,1.28833104666762e-05
"ENSG00000231453","LINC01305","up_in_WHO_II_vs_I",56,38.5540806402638,3.17216664033567,5.21592890300878,1.82898323734841e-07,1.50379910586333e-05
"ENSG00000261716","H2BC20P","up_in_WHO_II_vs_I",57,139.927326896222,1.05944609670123,5.15481825588522,2.53877038302893e-07,1.9370013224983e-05
"ENSG00000034063","ENSG00000034063","up_in_WHO_II_vs_I",58,102.486686167814,1.15397771970926,5.13834888071179,2.77162952288439e-07,2.08462760279444e-05
"ENSG00000255318","ENSG00000255318","up_in_WHO_II_vs_I",59,5.08358576208319,1.58734062138942,5.13648771728524,2.79920636492961e-07,2.09347425173761e-05
"ENSG00000205517","RGL3","up_in_WHO_II_vs_I",60,123.239211658274,1.29101785277054,5.11972629718441,3.05979407261947e-07,2.25566604239903e-05
"ENSG00000135451","TROAP","up_in_WHO_II_vs_I",61,54.9246192806164,1.35905350077665,5.09103552564658,3.56113291079375e-07,2.53443531756087e-05
"ENSG00000250579","ADAMTS16-DT","up_in_WHO_II_vs_I",62,1.98476468312347,3.00001122183662,5.05599174067198,4.28159863682214e-07,2.93666642253539e-05
"ENSG00000160949","TONSL","up_in_WHO_II_vs_I",63,135.183835452564,1.00867259810314,5.01528439411826,5.29550778368645e-07,3.41567728969566e-05
"ENSG00000072571","HMMR","up_in_WHO_II_vs_I",64,114.674025055303,1.18388423189648,5.00397374027759,5.61604107457049e-07,3.55971572851503e-05
"ENSG00000106541","AGR2","up_in_WHO_II_vs_I",65,778.139867047352,3.15884292537443,5.00143484813561,5.69051979443734e-07,3.58705979899354e-05
"ENSG00000231412","LINC03078","up_in_WHO_II_vs_I",66,58.2348492623943,2.447057752883,4.98532572229846,6.18575146148828e-07,3.85335929277417e-05
"ENSG00000197846","ENSG00000197846","up_in_WHO_II_vs_I",67,2.53010978749383,1.91599900517457,4.96989185749324,6.69902542621931e-07,4.12457437579433e-05
"ENSG00000214145","LINC00887","up_in_WHO_II_vs_I",68,137.218015815862,1.69634952443741,4.96364504464099,6.91823314083431e-07,4.21057982536984e-05
"ENSG00000269396","ENSG00000269396","up_in_WHO_II_vs_I",69,4.86657797358598,1.39071929679699,4.95893128441333,7.08820314481596e-07,4.29428325535475e-05
"ENSG00000163735","CXCL5","up_in_WHO_II_vs_I",70,8.49466996678029,1.95104753418001,4.92136531591753,8.59425369541987e-07,4.93563701922432e-05
"ENSG00000144354","CDCA7","up_in_WHO_II_vs_I",71,68.045109594068,1.72000411029798,4.91840261323469,8.72533078144319e-07,5.00006780170365e-05
