"metaprogram","rank","gene"
"MP10",45,"S100A6"
"MP10",46,"AKAP12"
"MP10",47,"HERPUD1"
"MP10",48,"PCOLCE"
"MP10",49,"SFRP2"
"MP10",50,"APLP2"
"MP11",1,"TNNT2"
"MP11",2,"TNNC1"
"MP11",3,"APOE"
"MP11",4,"NOV"
"MP11",5,"TAGLN"
"MP11",6,"ADIRF"
"MP11",7,"IFI27"
"MP11",8,"OMD"
"MP11",9,"SLC47A1"
"MP11",10,"WNT6"
"MP11",11,"CRABP2"
"MP11",12,"FGL2"
"MP11",13,"MYL9"
"MP11",14,"SLC26A2"
"MP11",15,"SLC4A4"
"MP11",16,"CLDN11"
"MP11",17,"FAM107A"
"MP11",18,"ID1"
"MP11",19,"CCND1"
"MP11",20,"EPHX1"
"MP11",21,"MGP"
"MP11",22,"SPARCL1"
"MP11",23,"LEPR"
"MP11",24,"OGN"
"MP11",25,"SLPI"
"MP11",26,"IGFBP6"
"MP11",27,"ASS1"
"MP11",28,"CRABP1"
"MP11",29,"IGFBP5"
"MP11",30,"TXNIP"
"MP11",31,"CAV1"
"MP11",32,"DCN"
"MP11",33,"FXYD5"
"MP11",34,"RPL22L1"
"MP11",35,"SFRP2"
"MP11",36,"TMEM205"
"MP11",37,"AL359555.4"
"MP11",38,"ALLC"
"MP11",39,"C1orf21"
"MP11",40,"CALD1"
"MP11",41,"FABP5"
"MP11",42,"HOPX"
"MP11",43,"MEST"
"MP11",44,"NPNT"
"MP11",45,"NPW"
"MP11",46,"PTGDS"
"MP11",47,"SCG5"
"MP11",48,"ASPN"
"MP11",49,"CLTB"
"MP11",50,"GSN"
"MP12",1,"BAX"
"MP12",2,"BBC3"
"MP12",3,"BTG3"
"MP12",4,"CDKN1A"
"MP12",5,"DDB2"
"MP12",6,"FDXR"
"MP12",7,"GADD45A"
"MP12",8,"GDF15"
"MP12",9,"H1FX"
"MP12",10,"MDM2"
"MP12",11,"MEST"
"MP12",12,"MMP2"
"MP12",13,"NUPR1"
"MP12",14,"PGF"
"MP12",15,"PHLDA3"
"MP12",16,"NINJ1"
"MP12",17,"AEN"
"MP12",18,"CAVIN2"
"MP12",19,"HSPA1A"
"MP12",20,"HSPA1B"
"MP12",21,"NEAT1"
"MP12",22,"PTN"
"MP12",23,"PTP4A1"
"MP12",24,"ACTA2"
"MP12",25,"ATF3"
"MP12",26,"CLDN11"
"MP12",27,"EDA2R"
"MP12",28,"FTL"
"MP12",29,"H1F0"
"MP12",30,"MFAP4"
"MP12",31,"RPS27L"
"MP12",32,"SOX4"
"MP12",33,"BGN"
"MP12",34,"HSP90B1"
"MP12",35,"LGALS1"
"MP12",36,"LMNA"
"MP12",37,"PCNA"
"MP12",38,"THUMPD3-AS1"
"MP12",39,"TYMS"
"MP12",40,"AC104126.1"
"MP12",41,"ANKRD37"
"MP12",42,"BTG1"
"MP12",43,"CHMP1B"
"MP12",44,"CSKMT"
"MP12",45,"CTGF"
"MP12",46,"CYR61"
"MP12",47,"DNAJB1"
"MP12",48,"FAM43A"
"MP12",49,"FN1"
"MP12",50,"HIST1H1C"
